LMS Category / Theme,Example Courses from Catalog,Recommended Assessments (codes),Implementation Notes
Conscious Leadership / Leadership & Management,Why Leadership & Management Matter; Situational Leadership; Coaching Skills for Leaders; Leading Change; Your Leadership Legacy; Developing Your Leadership Presence; Strengths-Based Leadership; Managing Managers,GTL-7 (transformational leadership); VIA-IPIP48 (signature strengths); IPIP-50 or BFI-44 (personality); GMS-8 (growth mindset); IPC-24 (locus of control),GTL-7 as pre/post for leadership programs; VIA/strengths for Strengths-Based Leadership and StrengthsFinder course (free alternative to CliftonStrengths).
Self-Awareness & Style (MBTI/DiSC/Enneagram courses),Understanding Yourself and Others: Using the MBTI; Understanding Yourself and Others: Using the DiSC; Team Building with Enneagram; Building Cohesive Teams (MBTI or DISC); Discover Your Signature Talents with the StrengthsFinder,IPIP-50 (public-domain Big Five); DISC-OSPP (open DISC); ENN-FREE (open Enneagram); VIA-IPIP48 (strengths),"These four give you no-license-fee analogs for every proprietary type tool currently named in the catalog (MBTI, DiSC, Enneagram, StrengthsFinder)."
Leading Teams / Team Effectiveness,"Creating Psychological Safety in the Workplace; Psychological Safety: Un-Managing Your Team; Building High Performing Teams; Creating High Performing Teams; The Vision and the Team; Group Structure, Cohesion & Development; How to Improve Team Trust",TPS-7 (Edmondson psychological safety); UWES-9 (engagement); DISC-OSPP (team style mix),TPS-7 aggregates naturally to team level - fits surveycraft-api's relationship/aggregate model.
Communication & Conflict,"Managing Conflict in the Workplace; Conflict Resolution Skills; Constructive Conflict Resolution; Confronting Conflict; Understanding, Embracing & Resolving Conflict; Conflict Mediation; Difficult Conversations; Power of Listening",CONFLICT-ADKINS (5 conflict styles); TEQ-16 or IRI-28 (empathy); SSEIS-33 (EI),Conflict-styles self-assessment is the classic pre-work for every conflict course; avoids TKI license fees.
Emotional Intelligence & Influence,Emotional Intelligence 101/201; EI I & II; Emotional Intelligence at Work; Emotional Intelligence for Leaders; Leading with Emotional Intelligence; Grow Your Social & Emotional Intelligence; Influencing Without Authority,SSEIS-33 (trait EI); TEQ-16 (empathy); IRI-28 (multidimensional empathy); MAAS-15 (mindful awareness),SSEIS-33 is the standard free research EI scale; pair with TEQ-16 for a shorter option.
"Stress, Resilience & Wellness","Stress Management: Minimizing Stress, Burnout, and Compassion Fatigue; Personal Resilience; Expanding Your Resilience; How to Strengthen Resilience; Executive Wellness Series; Staying Focused While Working from Home",PSS-10 (stress); CBI-19 (burnout); BRS-6 (resilience); WHO-5 (well-being); SCS-SF-12 (self-compassion); MAAS-15 (mindfulness); SWLS-5; LOTR-10 (optimism); GQ-6 (gratitude),Richest category - build a 'Wellness Check-In' bundle (PSS-10 + WHO-5 + BRS-6 = 21 items total).
"Engagement, Motivation & Satisfaction","Employee Engagement; 5 Strategies to Maintain Employee Engagement; Motivating Employees; Motivation at Scale; How to Keep Yourself and Other Team Members Motivated; Culture, Motivation, and Performance 101/201","UWES-9 (engagement); JSS-36 (job satisfaction, 9 facets); GRIT-8 (grit); GQ-6",JSS gives facet-level diagnostics that map directly to engagement-course content.
Change & Innovation,Leading Change; Making Change Work; Leading and Communicating Change; How to Overcome Resistance; How to Discuss an Impending Change; Continued Innovation; Innovation in Action; Leading with Innovation and Creativity,RFOC-SHORT (change readiness); GMS-8 (growth mindset); IPIP-50 Openness domain; NCS-18,Run RFOC before org change engagements; growth mindset pairs with innovation courses.
"Decision-Making, Critical Thinking & Productivity",Critical Thinking & Problem Solving; Critical Thinking and Decision Making; Effective Decision Making; Group Decision Making; How to Avoid Procrastination; Time and Priority Management; Managing Multiple Priorities & Your Time; Recognizing Cognitive Bias,NCS-18 (need for cognition); MDMQ-28 (decision style); GPS-20 (procrastination); IPC-24 (locus of control),GPS-20 is a natural fit for the procrastination/time-management micro-courses.
"Diversity, Culture & Values","Cultural Intelligence: Working within or Managing a Multi-Cultural Team; Working within or Managing a Multi-Generational Team; Managing a Diverse Workforce; Unconscious Bias Training; Understanding and Promoting Organizational Values; Equity, Diversity and Inclusion in the Workplace",SFCQ-10 (cultural intelligence); PVQ-21 (personal values); IRI-28 Perspective-Taking subscale,PVQ-21 supports values-alignment workshops; SFCQ-10 is the free CQ option (research use).
"Coaching, Development & Career",Coaching for Development & Career Success; Basic Coaching for Leaders; Manager as Coach; Build a Coaching Culture; Mentoring Essentials; Succession Planning; Professional Development electives,ONET-IPSF or RIASEC-PD (career interests); GSE-10 (self-efficacy); GRIT-8; GMS-8; RSES-10; VIA-IPIP48,"O*NET Interest Profiler powers career-development conversations at zero cost (public domain, US DOL)."
Learning & Development / Train-the-Trainer,Train-the-Trainer; How to Use Cognitive Diversity in Your Team; How to Understand Different Work Styles; Learning & Development micro-courses,ILS-44 (learning styles); MI-BB (multiple intelligences); NCS-18,"Frame styles instruments as preference-awareness tools (note: learning-styles matching has weak evidence for outcomes - position as self-reflection, not prescription)."
HR Strategies / Federal & Professional Development,Employee Relations; HR Analytics; Getting Efficient: Optimizing HR Operations; federal acquisition & retirement courses,JSS-36 (org diagnostics); UWES-9; WHO-5 (workforce wellness pulses),"Federal/technical courses (COR, CON, grants, retirement) are knowledge-based - self-assessments here serve climate/engagement measurement rather than course content."
